Original,WithoutStopwords,Lemmatized,Stemmed
congo,conspire,cyclospora,doublearm
congrats,constant,cynic,doublelung
congratulations,constipated,cyrus,doubt
congress,constipation,cystic,doug
conjoined,consult,câ,dougla
connect,consume,cãpita,down
connected,consumers,d,downey
connecticut,consumption,dad,downplay
connection,contact,dahlia,downsid
connections,contacts,daily,downsyndrom
connects,contagion,dakota,downturn
conquer,contagious,dalai,downward
conquered,contain,dallas,dozen
conquering,contained,dallasfort,dprint
conquers,containing,damage,dr
conscientious,contaminated,damaged,draft
consensual,contamination,damagefemale,drag
consent,content,damaging,drama
consequence,continents,dammed,dramat
consequences,continue,dan,drastic
conservative,continued,dance,draw
consider,continues,danced,drawn
considerations,contraband,dancer,dread
considered,contraceptive,dancing,dream
considering,contraceptives,dander,dress
conspire,contracted,danger,drexel
constant,contracting,dangerous,dri
constipated,contracts,dangerously,drifit
constipation,contradicting,daniel,drill
consult,contrarian,danish,drink
consume,contrasting,dare,drinker
consumers,contribute,darin,drive
consumption,contributed,dark,driver
contact,contribution,darker,drop
contacts,contributor,darkness,drown
contagion,control,dash,drug
contagious,controlled,dashdiet,drugmak
contain,controlling,data,drugresist
contained,controls,date,drum
containing,controversial,daterape,drunk
contaminated,controversy,dating,drunken
contamination,convention,daughter,drunker
content,conversation,day,ds
continents,conversational,daycare,dsm
continue,conversations,dayearly,du
continued,conversion,daylight,dubai
continues,convo,dayold,duchess
contraband,convos,dayscheck,duck
contraceptive,convâ,dayâ,due
contraceptives,cook,dc,dull
contracted,cooked,dd,dump
contracting,cookfor,de,duncan
contracts,cookie,dea,dung
contradicting,cooking,dead,dunkin
contrarian,cooks,deadlier,duo
contrasting,cool,deadliest,dupe
contribute,cooling,deadline,dust
contributed,cooper,deadly,dutch
contribution,cooperstyle,deadlydose,duti
contributor,copd,deaf,dvr
control,cope,deal,dwell
controlled,copilots,dealing,dx
controlling,coping,dealng,dye
controls,copper,dean,dysfunct
controversial,cops,dear,dyslexia
controversy,cord,death,dystextia
convention,cords,deathbed,dystonia
conversation,core,debate,dystoniaawar
conversational,corgenix,debilitated,e
conversations,corn,debilitating,ear
conversion,corneal,debt,earley
convo,corner,debunk,earli
convos,coronavirus,debunked,earlier
convâ,coroner,debunking,earliest
cook,corporal,debut,earlymid
cooked,corporate,dec,earlyonset
cookfor,correctly,decade,earlystag
cookie,correspondent,decay,earn
cooking,cortexthatâs,deceiving,earth
cooks,cosmetic,december,eas
cool,cosmetics,deception,easi
cooling,cost,deceptive,easier
cooper,costa,decide,easiest
cooperstyle,costco,decided,easili
copd,costing,deciding,east
cope,costly,decision,easter
copilots,costs,declare,eastern
coping,costumes,declared,easytocrush
copper,couch,declares,eat
cops,cough,declaring,eater
cord,could,declawing,eatingdisord
cords,couldnt,decline,eb
core,couldnât,declining,ebb
corgenix,council,decode,ebola
corn,counseling,decoding,ebolafre
corneal,counsels,decorating,ebolaoutbreak
corner,count,decrease,ebolaqanda
coronavirus,counter,decreasing,ecig
coroner,counterfeits,dedicate,ecigarett
corporal,counties,dedicating,eclampsia
corporate,counting,dedication,ecoli
correctly,countries,deductible,econom
correspondent,country,deemed,ecstasi
cortexthatâs,countrys,deep,ed
cosmetic,counts,deepali,eden
cosmetics,county,defeat,edg
cost,countyours,defect,edit
costa,couple,defective,editor
costco,couples,defends,educ
costing,coupon,defense,eek
costly,courage,deferred,effect
costs,course,deficiency,efficaci
costumes,court,deficit,effici
couch,couture,defies,effort
cough,cover,define,egg
could,coverage,defined,eggnog
couldnt,covered,definite,eggplant
couldnât,covergirl,definitely,egypt
council,cow,definition,egyptian
counseling,cows,definitive,eh
counsels,cpr,deflate,ehypochondriac
count,crab,deformity,eighth
counter,crackin,defrauding,einstein
counterfeits,craft,degree,either
counties,crafting,dehydrated,eitheror
counting,crafts,delay,el
countries,craigslist,delayed,elabor
country,cramps,delicious,elain
countrys,crank,deliver,elba
counts,crash,delivered,elderli
county,crashes,delivering,elearn
countyours,crave,delivers,elect
couple,craving,delivery,electr
couples,cravings,delusion,electrod
coupon,craze,demand,electron
courage,crazy,dementia,element
course,cream,demo,elementari
court,creamers,demon,eleph
couture,create,dengue,elephantiasi
cover,created,denial,elev
coverage,creates,denied,elig
covered,creating,denies,elimin
covergirl,credit,denny,elizabeth
cow,credits,dense,elizabethlandaucom
cows,cremation,dental,elli
cpr,crematorium,dente,elmo
crab,crews,dentist,els
crackin,crickets,denture,elus
craft,cries,deny,em
crafting,crime,department,email
crafts,crimes,depended,emb
craigslist,criminal,dependence,embrac
cramps,criminologist,dependent,embryo
crank,crippled,depends,emerg
crash,crises,deployment,emergencieseven
crashes,crisis,depollinate,emilylett
crave,critical,depressed,emir
craving,criticizes,depressing,emma
cravings,critics,depression,emoji
craze,cross,depressive,emori
crazy,crossfit,deprived,emot
cream,crosswalk,dept,empathi
creamers,crosswords,derail,employe
create,crowdfund,derby,empow
created,crucial,dermal,empoweredpati
creates,cruel,descends,empti
creating,cruelmystery,describe,emt
credit,cruise,described,enceph
credits,cruises,desert,encephalopathi
cremation,crunches,deserve,encount
crematorium,crunchy,deseâ,encourag
crews,crushed,design,end
crickets,cry,desk,endangeredriv
cries,crying,despair,endaâ
crime,cryotherapy,despite,endcanc
crimes,crystal,dessert,endear
criminal,csection,destigmatize,endem
criminologist,csections,destination,endfistula
crippled,ct,destress,endgam
crises,cte,destroys,endoflif
crisis,ctlcnn,destructive,endometri
critical,cuba,detail,endometriosi
criticizes,cubaflorida,detailing,endstag
critics,cuban,detect,endur
cross,cubans,detected,enema
crossfit,cubatoflorida,detection,enemi
crosswalk,cube,detective,energi
crosswords,cucumber,detects,engag
crowdfund,cucumbers,deter,engin
crucial,cuddlers,detergent,england
cruel,cuddling,deteriorates,english
cruelmystery,cuddly,determine,enhanc
cruise,cue,determines,enjoy
cruises,culls,detour,enlarg
crunches,culprit,detox,enough
crunchy,cup,devastating,enrich
crushed,cupid,develop,enriqu
cry,cupids,developed,enrol
crying,cupp,developing,ensur
cryotherapy,cups,development,enter
crystal,curable,develops,enteromed
csection,curb,device,enteroviru
csections,curbs,devil,entertain
ct,cure,dhs,entir
cte,cured,diabetes,entrepreneuri
ctlcnn,cures,diabetic,entri
cuba,curious,diagnose,envi
cubaflorida,curiouser,diagnosed,environ
cuban,current,diagnosing,environment
cubans,curveballs,diagnosis,ep
cubatoflorida,curves,diagnostic,epic
cube,cushman,dialysis,epicent
cucumber,custom,diana,epidem
cucumbers,customer,diananyad,epidur
cuddlers,customers,diaper,epilepsi
cuddling,customize,didnt,epilept
cuddly,customized,didnât,equal
cue,cut,die,equip
culls,cute,died,er
culprit,cuts,diet,era
cup,cutting,dietary,erad
cupid,cvs,dietbet,eras
cupids,cvshealth,dietfriendly,erectil
cupp,cyanide,dieting,eric
cups,cyaochat,dif,erik
curable,cyber,differ,error
curb,cyberbullied,difference,errr
curbs,cyberbullying,different,es
cure,cyborgs,differently,escal
cured,cycle,differing,escap
cures,cycling,difficult,esp
curious,cyclone,difficulty,espaãol
curiouser,cyclospora,digest,espec
current,cynics,digestion,especi
curveballs,cyrus,digestivehealth,essay
curves,cystic,digit,essenti
cushman,câ,digital,est
custom,cãpita,dignity,estat
customer,dad,dilemma,estim
customers,dads,dimension,et
customize,dahlias,dining,etc
customized,daily,dinner,ethan
cut,dakota,dioxide,ethic
cute,dakotas,dip,ethiopia
cuts,dalai,diplomatic,ethiopian
cutting,dallas,dire,etiquett
cvs,dallasfort,direct,etpt
cvshealth,damage,directive,eu
cyanide,damaged,director,eunuch
cyaochat,damagefemale,directtoconsumer,europ
cyber,damages,dirt,european
cyberbullied,damaging,dirty,euthan
cyberbullying,dammed,dis,euthanasia
cyborgs,dan,disability,evacu
cycle,dance,disabled,evad
cycling,danced,disappear,evalu
cyclone,dancer,disappointment,evan
cyclospora,dances,disaster,eve
cynics,dancing,discharge,even
cyrus,dander,discharged,event
cystic,danger,disclosing,ever
câ,dangerous,discontinued,everett
cãpita,dangerously,discover,everi
d,dangers,discovered,everybodi
dad,daniel,discovering,everyday
dads,daniels,discovers,everymin
dahlias,danish,discovery,everyon
daily,dare,discus,everystepcount
dakota,darin,discussed,everyth
dakotas,dark,discusses,everywher
dalai,darker,discussion,evid
dallas,darkness,disease,evidencebas
dallasfort,dash,disgraced,evoc
damage,dashdiet,disgusted,evolut
damaged,data,dish,evolutionari
damagefemale,date,dishesâ,evolv
damages,daterape,disinfect,ew
damaging,dates,dismissal,ex
dammed,dating,dismissed,exactli
dan,daughter,dismissing,exam
dance,daughters,disney,examin
danced,day,disneyland,excel
dancer,daycare,disorder,except
dances,dayearly,disparity,excess
dancing,daylight,dispatch,exchang
dander,dayold,display,excit
danger,days,disposable,exclus
dangerous,dayscheck,distance,exconjoin
dangerously,dayâ,distant,excus
dangers,dc,distinct,excuseproof
daniel,dd,distraction,exec
daniels,de,distressing,execut
danish,dea,distribution,exempt
dare,dead,district,exercis
darin,deadlier,distrubing,exfoli
dark,deadliest,disturbing,exhal
darker,deadline,ditch,exhaust
darkness,deadly,ditching,exhibit
dash,deadlydose,divided,exhospit
dashdiet,deaf,division,exhum
data,deal,divorce,exist
date,dealing,diy,exit
daterape,dealng,dl,exnfler
dates,dean,dna,exoskeleton
dating,dear,dnc,expand
daughter,death,do,expans
daughters,deathbed,dobbin,expect
day,deaths,doc,expens
daycare,debate,doctor,experi
dayearly,debates,doctorsinsurers,experienc
daylight,debilitated,document,experiment
dayold,debilitating,documentary,expert
days,debt,dodge,expir
dayscheck,debunk,doesnt,explain
dayâ,debunked,doesnât,explan
dc,debunking,dog,explod
dd,debuts,dole,explor
de,dec,doll,explos
dea,decade,dollar,expos
dead,decades,dolphin,exposur
deadlier,decay,domestic,express
deadliest,deceiving,domesticated,expro
deadline,december,domesticviolence,exsmok
deadly,deception,dominate,exsoldi
deadlydose,deceptive,doms,exsup
deaf,decide,donate,extend
deal,decided,donated,extens
dealing,deciding,donates,extra
dealng,decision,donating,extract
dean,decisions,donation,extraordinari
dear,declare,done,extrem
death,declared,donor,exâ
deathbed,declares,donovan,eye
deaths,declaring,dont,eyeburn
debate,declawing,donteatthedip,eyelash
debates,decline,dontfryday,eyelid
debilitated,declines,donts,eyelin
debilitating,declining,donut,eyesight
debt,decode,donât,f
debunk,decoding,door,fab
debunked,decorating,doortodoor,face
debunking,decrease,doping,facebook
debuts,decreasing,dormer,facetim
dec,dedicate,dorsett,facial
decade,dedicating,dorsi,facil
decades,dedication,dos,facilit
decay,deductibles,dose,fact
deceiving,deemed,double,factcheck
december,deep,doublearm,factor
deception,deepali,doubled,fad
deceptive,defeat,doublelung,fade
decide,defect,doubling,fail
decided,defective,doubt,failur
deciding,defects,doug,faint
decision,defends,douglas,fair
decisions,defense,down,fairytal
declare,deferred,downey,faith
declared,deficiency,downplay,fake
declares,deficit,downside,fall
declaring,defies,downsyndrome,fallen
declawing,define,downturn,fals
decline,defined,downward,famer
declines,definite,dozen,famili
declining,definitely,dprinted,famin
decode,definition,dr,fan
decoding,definitive,draft,fanci
decorating,deflate,drafting,fanconi
decrease,deformities,dragging,fangirl
decreasing,defrauding,drama,fantasi
dedicate,degrees,dramatic,fantast
dedicating,dehydrated,drastic,faq
dedication,delay,drastically,far
deductibles,delayed,draw,farah
deemed,delays,drawn,fare
deep,delicious,dread,farm
deepali,deliver,dreading,farmer
defeat,delivered,dream,farmeâ
defect,delivering,dress,farmwork
defective,delivers,dressing,fascin
defects,delivery,drexel,fashion
defends,delusions,drifit,fast
defense,demand,drill,faster
deferred,dementia,drink,fastfood
deficiency,demo,drinker,fastfoodlov
deficit,demons,drinking,fastpac
defies,dengue,drive,fasttrack
define,denial,driver,fat
defined,denied,driving,fatal
definite,denies,drop,fatburn
definitely,denny,dropped,fate
definition,dense,drown,fatfight
definitive,dental,drowned,father
deflate,dente,drowning,fatherhood
deformities,dentist,drowns,fathersday
defrauding,dentists,drs,fatherson
degrees,dentures,drug,fatherâ
dehydrated,deny,drugmaker,fatigu
delay,department,drugresistant,fatman
delayed,depended,drum,fattest
delays,dependence,drumming,fatti
delicious,dependent,drunk,fatâ
deliver,depends,drunken,fauja
delivered,deployment,drunkenness,fault
delivering,depollinate,drunker,fav
delivers,depressed,dry,favorit
delivery,depressing,dsm,favr
delusions,depression,du,fb
demand,depressive,dubai,fbchat
dementia,depressives,duchess,fda
demo,deprived,duck,fear
demons,dept,due,feat
dengue,derail,dulles,featur
denial,derby,dump,featuredsect
denied,dermal,dumped,feb
denies,descends,duncan,februari
denny,describe,dung,fecal
dense,described,dunkin,fece
dental,desert,duo,fed
dente,deserve,dupe,feder
dentist,deseâ,dust,feed
dentists,design,dutch,feedback
dentures,desk,duty,feel
deny,desks,dvr,feet
department,despair,dwelling,felix
depended,despite,dx,fell
dependence,dessert,dy,fellow
dependent,desserts,dye,felt
depends,destigmatize,dying,femal
deployment,destination,dysfunction,fend
depollinate,destress,dyslexia,fentanyl
depressed,destroys,dystextia,ferment
depressing,destructive,dystonia,fertil
depression,detail,dystoniaawareness,festiv
depressive,detailing,e,fetal
depressives,details,ear,fetu
deprived,detect,earley,fetus
dept,detected,earlier,fever
derail,detection,earliest,fewer
derby,detective,early,ff
dermal,detects,earlymid,fiance
descends,deter,earlyonset,fiber
describe,detergent,earlystage,fibroid
described,detergents,earn,fibrosi
desert,deteriorates,earth,fiction
deserve,determine,eas,fidget
deseâ,determines,ease,field
design,detour,easier,fieri
desk,detox,easiest,fifth
desks,devastating,easily,fifthgrad
despair,develop,east,fight
despite,developed,easter,fighter
dessert,developing,eastern,figur
desserts,development,easy,file
destigmatize,developments,easytocrush,filipino
destination,develops,eat,fill
destress,device,eater,filler
destroys,devices,eating,film
destructive,devil,eatingdisorders,filter
detail,dhs,eats,filthi
detailing,diabetes,ebb,filtrat
details,diabetic,ebbed,final
detect,diabetics,ebola,finalfour
detected,diagnose,ebolafree,financi
detection,diagnosed,ebolaoutbreak,find
detective,diagnoses,ebolaqanda,fine
detects,diagnosing,ecig,finer
deter,diagnosis,ecigarette,finger
detergent,diagnostic,ecigarettes,finish
detergents,dialysis,ecigs,finâ
deteriorates,diana,eclampsia,fire
determine,diananyad,ecoli,firefight
determines,diapers,economic,firehous
detour,didnt,ecstasy,firm
detox,didnât,ed,firmli
devastating,die,eden,first
develop,died,edge,firstev
developed,dies,editing,firstperson
developing,diet,editor,firstrespond
development,dietary,educated,fiscal
developments,dietbet,educating,fischer
develops,dietfriendly,education,fish
device,dieting,eek,fisher
devices,diets,effect,fist
devil,dif,effective,fistclinch
dhs,differ,effectively,fistula
diabetes,difference,effectiveness,fit
diabetic,differences,efficacy,fitbi
diabetics,different,efficient,fitbit
diagnose,differently,effort,fitfamil
diagnosed,differing,egg,fitfamili
diagnoses,difficult,eggnog,fitfamâ
diagnosing,difficulty,eggplant,fitfluenti
diagnosis,digest,egypt,fitfâ
diagnostic,digestion,egyptian,fitmom
dialysis,digestivehealth,eh,fitnat
diana,digital,ehypochondriac,fitquot
diananyad,digits,ehypochondriacs,fitspir
diapers,dignity,eighth,fitter
did,dilemma,einstein,fittest
didnt,dimensions,either,five
didnât,dining,eitheror,fix
die,dinner,el,fixabl
died,dinners,elaborate,fizzl
dies,dioxide,elaine,fizzzzzz
diet,diplomatic,elba,fiâ
dietary,dips,elderly,fl
dietbet,dire,elearning,flag
dietfriendly,direct,election,flame
dieting,directives,electric,flash
diets,director,electrical,flashback
dif,directors,electrode,flatten
differ,directtoconsumer,electronic,flavor
difference,dirt,electronics,flavorless
differences,dirty,element,flaw
different,disabilities,elementary,flesheat
differently,disability,elephant,flew
differing,disabled,elephantiasis,fli
difficult,disappear,elevated,flight
difficulty,disappointment,elevator,flock
digest,disaster,eligibility,flood
digestion,disasters,eliminate,floodhit
digestivehealth,discharged,eliminated,floor
digital,discharges,eliminating,florida
digits,disclosing,elizabeth,floss
dignity,discontinued,elizabethlandaucom,flour
dilemma,discover,ellie,flow
dimensions,discovered,elmo,flower
dining,discoveries,else,flown
dinner,discovering,elses,flu
dinners,discovers,elusive,fluid
dioxide,discovery,em,fluq
diplomatic,discuss,email,flurel
dips,discussed,embed,flurisk
dire,discusses,embrace,foam
direct,discussion,embraced,focu
directives,discussions,embryo,focus
director,disease,emerge,fog
directors,diseases,emergencieseven,folk
directtoconsumer,disgraced,emergency,follow
dirt,disgusted,emergent,food
dirty,dishes,emerging,foodborn
disabilities,dishesâ,emilyletts,foodproduc
disability,disinfect,emirate,foodsafeti
disabled,dismissal,emma,foot
disappear,dismissed,emojis,footandmouth
disappointment,dismissing,emory,footbal
disaster,disney,emotion,footbath
disasters,disneyland,emotional,footstep
discharged,disorder,empathy,forc
discharges,disorders,employee,forcep
disclosing,disparities,empowered,foreign
discontinued,disparity,empoweredpatient,forest
discover,dispatch,empoweredpatients,forev
discovered,display,empty,forget
discoveries,disposable,emt,forgiv
discovering,diss,encephalitis,forgotten
discovers,distance,encephalopathy,fork
discovery,distant,encounter,form
discuss,distinct,encourage,formaldehyd
discussed,distractions,end,former
discusses,distressing,endangeredriver,formula
discussion,distribution,endaâ,forward
discussions,district,endcancer,foster
disease,distrubing,endearing,fought
diseases,disturbing,endemic,foul
disgraced,ditch,endfistulas,found
disgusted,ditching,endgame,foundat
dishes,divided,ending,fountain
dishesâ,division,endoflife,four
disinfect,divorce,endometrial,fourth
dismissal,diy,endometriosis,fragment
dismissed,dl,endstage,fragrant
dismissing,dna,endurance,framework
disney,dnc,endure,franc
disneyland,dobbins,enema,francai
disorder,doc,enemy,franci
disorders,docs,energy,francisco
disparities,doctor,engage,francoeur
disparity,doctors,engagement,frank
dispatch,doctorsinsurers,engaging,frankenfruit
display,documentary,engineer,franki
disposable,documents,engineering,fratern
diss,dodge,england,fraud
distance,doesnt,english,freak
distant,doesnât,enhancement,freakout
distinct,dog,enjoy,free
distractions,dogs,enjoyed,freel
distressing,dole,enjoying,freez
distribution,doll,enjoys,french
district,dollar,enlarged,frequent
distrubing,dolphins,enough,fresh
disturbing,domestic,enriched,freshen
ditch,domesticated,enrique,freshfruitfriday
ditching,domesticviolence,enroll,freshman
divided,dominate,enrollment,freud
division,doms,ensure,fri
divorce,donate,enter,friday
diy,donated,entered,fridg
dl,donates,enteromedics,frieden
dna,donating,enterovirus,friend
dnc,donation,enters,friendli
do,donations,entertainer,friendship
dobbins,done,entire,fring
doc,donor,entrepreneurial,frith
docs,donors,entry,frog
doctor,donovan,environment,front
doctors,dont,environmental,frontal
doctorsinsurers,donteatthedip,envy,frontier
documentary,dontfryday,ep,frontlin
documents,donts,epic,frostbit
dodge,donuts,epicenter,frostbitten
does,donât,epidemic,frosti
doesnt,door,epidural,frozen
doesnât,doortodoor,epilepsy,frozenthem
dog,doping,epileptic,fruit
dogs,dormers,equal,fruiti
doing,dorsett,equipment,fruitsveggi
dole,dorsi,equipped,frustrat
doll,dos,er,frâ
dollar,dose,era,ftc
dolphins,doses,eradicate,ftw
domestic,double,eradicated,fuel
domesticated,doublearm,eradication,fukushima
domesticviolence,doubled,erase,full
dominate,doublelung,erectile,fullbodi
doms,doubles,eric,fuller
donate,doubling,erik,fulli
donated,doubt,error,fun
donates,doug,errr,function
donating,douglas,escalator,fund
donation,downey,escape,fundament
donations,downplay,esp,fundrais
done,downs,espaãol,fungal
donor,downside,espec,funkhous
donors,downsides,especially,funni
donovan,downsyndrome,essay,furi
dont,downturn,essential,fusion
donteatthedip,downward,est,fuss
dontfryday,dozen,estatic,futur
donts,dozens,estimate,fword
donuts,dprinted,et,fâ
donât,dr,etc,g
door,draft,ethan,ga
doortodoor,drafting,ethic,gadget
doping,dragging,ethical,gaga
dormers,drama,ethiopia,gain
dorsett,dramatic,ethiopian,gainâ
dorsi,drastic,etiquette,gal
dos,drastically,etpt,galleri
dose,draw,eu,game
doses,drawn,eunuch,gamer
double,draws,europe,gap
doublearm,dread,european,garbl
doubled,dreading,euthanasia,gardasil
doublelung,dream,euthanize,garden
doubles,dreams,euthanizes,garlic
doubling,dress,evacuates,garment
doubt,dresses,evacuating,garner
doug,dressing,evacuation,gasp
douglas,dressings,evade,gastric
down,drexel,evaluate,gastroenter
downey,drifit,evaluated,gastrointestin
downplay,drill,evans,gate
downs,drink,eve,gateway
downside,drinker,even,gave
downsides,drinkers,evening,gay
downsyndrome,drinking,event,gayblooddr
downturn,drinks,ever,gear
downward,drive,everett,geek
dozen,driver,every,gehrig
dozens,drivers,everybody,gellar
dprinted,drives,everyday,gen
dr,driving,everymins,gender
draft,drop,everyone,gene
drafting,dropped,everyones,genentech
dragging,drops,everystepcounts,gener
drama,drown,everything,generos
dramatic,drowned,everywhere,genet
drastic,drowning,evidence,geneticist
drastically,drowns,evidencebased,geneva
draw,drs,evocative,genit
drawn,drug,evolution,geniu
draws,drugmaker,evolutionary,genom
dread,drugresistant,evolved,gentli
dreading,drugs,ew,genuin
dream,drum,ex,geograph
dreams,drumming,exactly,geographi
dress,drums,exam,georgia
dresses,drunk,examine,gerbil
dressing,drunken,examines,germ
dressings,drunkenness,excellence,german
drexel,drunker,excellent,germani
drifit,dry,except,germanw
drill,ds,exception,germiest
drink,dsm,exceptionally,gestat
drinker,du,excess,get
drinkers,dubai,exchange,getcov
drinking,duchess,excited,getfit
drinks,duck,exciting,gettng
drive,due,exclusive,ghost
driver,dulles,exclusively,giant
drivers,dump,exconjoined,gift
drives,dumped,excuse,giftguid
driving,duncan,excuseproof,gilenya
drop,dung,exec,gillis
dropped,dunkin,execution,gimmick
drops,duo,exemption,ginkgo
drown,dupe,exercise,girl
drowned,dust,exerciser,give
drowning,dutch,exercising,giveblood
drowns,duty,exfoliating,given
drs,dvr,exhaled,giver
drug,dwelling,exhausted,glare
drugmaker,dx,exhaustive,glass
drugresistant,dyes,exhibit,glassexplor
drugs,dying,exhospital,glassspeck
drum,dysfunction,exhumed,glaucoma
drumming,dyslexia,existence,gleason
drums,dystextia,exists,glimps
drunk,dystonia,exit,glitch
drunken,dystoniaawareness,exnflers,global
drunkenness,e,exoskeleton,glove
drunker,ear,expand,glow
dry,earley,expanded,glucos
ds,earlier,expanding,glue
dsm,earliest,expands,gluten
du,early,expansion,glutenfre
dubai,earlymid,expect,gmo
duchess,earlyonset,expectancy,go
duck,earlystage,expectant,goal
due,earn,expected,god
dulles,ears,expecting,goe
dump,earth,expense,gold
dumped,ease,expensive,golden
duncan,eases,experience,goldfish
dung,easier,experiencing,golf
dunkin,easiest,experiment,golfer
duo,easily,experimental,gone
dupe,east,expert,good
during,easter,expiration,goodby
dust,eastern,expired,goodi
dutch,easy,explain,googl
duty,easytocrush,explained,googledoodl
dvr,eat,explainer,gop
dwelling,eater,explaining,gore
dx,eating,explains,goredforwomen
dyes,eatingdisorders,explanation,gorilla
dying,eats,exploded,got
dysfunction,ebbed,explore,gother
dyslexia,ebbs,explored,goto
dystextia,ebola,explosive,gotten
dystonia,ebolafree,expose,gout
dystoniaawareness,ebolaoutbreak,exposed,gov
e,ebolaqanda,exposing,govern
each,ebolas,exposure,governor
ear,ecig,express,gp
earley,ecigarette,expression,gr
earlier,ecigarettes,expro,grab
earliest,ecigs,exsmokers,grace
early,eclampsia,exsoldiers,gracehopp
earlymid,ecoli,exsuper,graci
earlyonset,economic,extend,grade
earlystage,ecstasy,extension,gradual
earn,ed,extra,grain
ears,eden,extract,gram
earth,edge,extraordinary,grand
ease,editing,extreme,grandma
eases,editor,extremely,grandmoth
easier,educated,exâ,grandpar
easiest,educating,eye,grandson
easily,education,eyeburn,granola
east,eek,eyelash,grant
easter,effect,eyelid,grappl
eastern,effective,eyeliner,grate
easy,effectively,eyesight,gratitud
easytocrush,effectiveness,f,grave
eat,effects,fab,graviti
eater,efficacy,face,gray
eating,efficient,facebook,graze
eatingdisorders,effort,faced,great
eats,efforts,facetime,greater
ebbed,egg,facial,greatgrandfath
ebbs,eggnog,facilitate,greatgrandkid
ebola,eggplant,facility,greatli
ebolafree,eggs,facing,greec
ebolaoutbreak,egypt,fact,greed
ebolaqanda,egyptian,factchecking,greek
ebolas,egyptians,factor,green
ecig,eh,fad,greenpeac
ecigarette,ehypochondriac,fade,greenwich
ecigarettes,ehypochondriacs,fail,grew
ecigs,eighth,failed,grief
eclampsia,einsteins,failing,griev
ecoli,either,fails,grill
economic,eitheror,failure,grim
ecstasy,el,fainting,grimac
ed,elaborate,fair,grind
eden,elaine,fairing,groceri
edge,elba,fairytale,groggi
editing,elderly,faith,groom
editor,elearning,fake,gross
educated,election,faked,ground
educating,electric,faking,groundbreak
education,electrical,fall,group
eek,electrodes,fallen,grow
effect,electronic,falling,grown
effective,electronics,false,growth
effectively,element,famer,grt
effectiveness,elementary,family,gruesom
effects,elephant,famine,gsk
efficacy,elephantiasis,fan,gt
efficient,elevated,fanconi,guantanamo
effort,elevator,fancy,guess
efforts,eligibility,fangirling,guid
egg,eliminate,fantastic,guidelin
eggnog,eliminated,fantasy,guilt
eggplant,eliminating,faq,guiltfre
eggs,elizabeth,far,guilti
egypt,elizabethlandaucom,farah,guin
egyptian,ellie,fare,guinea
egyptians,elmo,farm,guitar
eh,else,farmer,gum
ehypochondriac,elses,farmeâ,gun
ehypochondriacs,elusive,farmworkers,gupta
eighth,em,fascinating,guru
einsteins,email,fashion,gusson
either,emails,fashionable,gut
eitheror,embed,fast,guy
el,embrace,faster,gyford
elaborate,embraced,fastfood,gym
elaine,embraces,fastfoodloving,gyno
elba,embryos,fasting,h
elderly,emerge,fastpaced,ha
elearning,emergencies,fasttracks,habanero
election,emergencieseven,fat,habit
electric,emergency,fatal,hachi
electrical,emergent,fatality,hack
electrodes,emerging,fatburning,hacker
electronic,emilyletts,fate,hair
electronics,emirates,fatfighting,hairfacâ
element,emma,father,haiti
elementary,emojis,fatherhood,half
elephant,emory,fathersday,halfpound
elephantiasis,emotion,fatherson,hall
elevated,emotional,fatherâs,halleberri
elevator,emotions,fatigue,halloween
eligibility,empathy,fatman,halperin
eliminate,employee,fattest,halt
eliminated,employees,fatty,hamburg
eliminating,empowered,fatâ,hand
elizabeth,empoweredpatient,fauja,handheld
elizabethlandaucom,empoweredpatients,fault,handl
ellie,empty,fav,handsoff
elmo,emt,favorite,hang
else,encephalitis,favre,hangout
elses,encephalopathy,favs,hangov
elusive,encounter,fb,hangoverfre
em,encourage,fbchat,hangri
email,end,fda,hantaviru
emails,endangeredriver,fear,happen
embed,endaâ,feared,happi
embrace,endcancer,fearing,happier
embraced,endearing,feat,happiest
embraces,endemic,feature,happili
embryos,endfistulas,featured,happyday
emerge,endgame,featuredsection,happymonday
emergencies,ending,feb,happynewyear
emergencieseven,endoflife,february,happythanksgiv
emergency,endometrial,fecal,hara
emergent,endometriosis,feces,hard
emerging,ends,fed,harden
emilyletts,endstage,federal,harder
emirates,endurance,feed,hardest
emma,endure,feedback,hardi
emojis,enema,feeding,hardig
emory,enemy,feel,hardli
emotion,energy,feeling,hardtospot
emotional,engage,felix,harm
emotions,engagement,fell,harmon
empathy,engaging,fellow,haroldrami
employee,engineer,felt,harri
employees,engineering,female,harrison
empowered,england,fend,harsh
empoweredpatient,english,fentanyl,harvard
empoweredpatients,enhancement,ferment,harvest
empty,enjoy,fertile,hashtag
emt,enjoyed,fertility,hasnt
encephalitis,enjoying,festival,hat
encephalopathy,enjoys,festive,hate
encounter,enlarged,fetal,havent
encourage,enough,fetus,haveâ
end,enriched,fever,havoc
endangeredriver,enrique,fewer,havâ
endaâ,enroll,ff,hawaii
endcancer,enrollment,fiancee,hazard
endearing,ensure,fiber,haze
endemic,enter,fibroid,hazelnut
endfistulas,entered,fibrosis,hazmat
endgame,enteromedics,fiction,hca
ending,enterovirus,fictional,he
endoflife,enters,fidgeting,head
endometrial,entertainer,field,headach
endometriosis,entire,fiery,headlin
ends,entrepreneurial,fifth,headphon
